Date,AAPL,GOOG,IBM,MSFT
2010-01-04,6.4403300285339355,15.554350852966309,74.269775390625,23.300683975219727
2010-01-05,6.451464653015137,15.485855102539062,73.37259674072266,23.308210372924805
2010-01-06,6.3488450050354,15.095476150512695,72.89596557617188,23.165170669555664
2010-01-07,6.337108135223389,14.744059562683105,72.64361572265625,22.92424964904785
2010-01-08,6.379241466522217,14.940614700317383,73.37259674072266,23.082355499267578
2010-01-11,6.322968006134033,14.918030738830566,72.60438537597656,22.78875160217285
2010-01-12,6.251041889190674,14.654221534729004,73.18195343017578,22.638168334960938
2010-01-13,6.3392157554626465,14.570090293884277,73.02494049072266,22.84897804260254
2010-01-14,6.302501678466797,14.638586044311523,74.19126892089844,23.308210372924805
2010-01-15,6.197174072265625,14.394133567810059,73.89408874511719,23.232921600341797
2010-01-19,6.471327304840088,14.583243370056152,75.2174301147461,23.41361427307129
2010-01-20,6.371716022491455,14.404309272766113,73.0361557006836,23.029653549194336
2010-01-21,6.26157283782959,14.468090057373047,72.33522033691406,22.593002319335938
2010-01-22,5.951009750366211,13.649857521057129,70.37262725830078,21.802509307861328
2010-01-25,6.111107349395752,13.401435852050781,70.72029113769531,22.07353401184082
2010-01-26,6.197475910186768,13.461493492126465,70.51283264160156,22.209041595458984
2010-01-27,6.255858421325684,13.45355224609375,70.8380355834961,22.337026596069336
2010-01-28,5.997352600097656,13.25972843170166,69.39134979248047,21.953079223632812
2010-01-29,5.779776573181152,13.151771545410156,68.62876892089844,21.21529197692871
2010-02-01,5.86012601852417,13.228208541870117,69.9072265625,21.388439178466797
2010-02-02,5.894132614135742,13.181056022644043,70.38945770263672,21.42608642578125
2010-02-03,5.995547771453857,13.421785354614258,70.46237182617188,21.554065704345703
2010-02-04,5.779475688934326,13.073348045349121,68.97079467773438,20.95931625366211
2010-02-05,5.88209342956543,13.185274124145508,69.26236724853516,21.094837188720703
2010-02-08,5.841768264770508,13.23937702178955,68.64844512939453,20.868976593017578
2010-02-09,5.904063701629639,13.313084602355957,69.39756774902344,21.087297439575195
2010-02-10,5.871861934661865,13.263697624206543,69.17227172851562,21.072248458862305
2010-02-11,5.978696346282959,13.312092781066895,69.69046783447266,21.17011833190918
2010-02-12,6.030154705047607,13.230690956115723,69.84251403808594,21.027070999145508
2010-02-16,6.121037483215332,13.433696746826172,70.53530883789062,21.44308090209961
2010-02-17,6.095458984375,13.357012748718262,71.15486907958984,21.62460708618164
2010-02-18,6.106895446777344,13.48134708404541,71.98849487304688,21.912025451660156
2010-02-19,6.068976879119873,13.420296669006348,71.6392822265625,21.760751724243164
2010-02-22,6.03135871887207,13.470924377441406,71.44774627685547,21.730493545532227
2010-02-23,5.9302449226379395,13.279085159301758,71.22810363769531,21.427947998046875
2010-02-24,6.038580894470215,13.189742088317871,71.86457061767578,21.654861450195312
2010-02-25,6.078906536102295,13.064661026000977,71.57170867919922,21.632171630859375
2010-02-26,6.157752513885498,13.073843955993652,71.62236022949219,21.685117721557617
2010-03-01,6.289261341094971,13.22001838684082,72.41654968261719,21.949846267700195
2010-03-02,6.285048484802246,13.427742004394531,71.7688217163086,21.526273727416992
2010-03-03,6.299491882324219,13.533463478088379,71.46467590332031,21.526273727416992
2010-03-04,6.34102201461792,13.763522148132324,71.37454986572266,21.654861450195312
2010-03-05,6.588993549346924,14.002264976501465,71.6730728149414,21.62460708618164
2010-03-08,6.5929059982299805,13.959331512451172,71.199951171875,21.654861450195312
