Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-04,6.4403300285339355,6.455075825369143,6.391277552762015,6.422875746236436,493729600
2010-01-05,6.451464653015137,6.487877930287253,6.417458516486256,6.458085394989272,601904800
2010-01-06,6.3488450050354,6.4770438212601515,6.342224263643306,6.4514640858562,552160000
2010-01-07,6.337108135223389,6.379841611717165,6.291065091462022,6.37231804159629,477131200
2010-01-08,6.379241466522217,6.379843754126937,6.2913689505515755,6.328684263710754,447610800
2010-01-11,6.322968006134033,6.409938106927058,6.273012280593859,6.403919247996197,462229600
2010-01-12,6.251041889190674,6.31273437428661,6.21192052125898,6.295279285939875,594459600
2010-01-13,6.3392157554626465,6.347642155354666,6.1421034098672385,6.255556454799051,605892000
2010-01-14,6.302501678466797,6.33349838931188,6.2901634237727,6.322965791664653,432894000
2010-01-15,6.197174072265625,6.367805046438101,6.195368415225328,6.347641876154785,594067600
2010-01-19,6.471327304840088,6.475841447952822,6.2365978898712315,6.269399457778435,730007600
2010-01-20,6.371716022491455,6.486672949938525,6.304606988029467,6.4674130138399075,612152800
2010-01-21,6.26157283782959,6.419263646659066,6.235692561276281,6.382248888582977,608154400
2010-01-22,5.951009750366211,6.244422252842924,5.933254922521883,6.222755167225841,881767600
2010-01-25,6.111107349395752,6.16015943254039,6.024437807372042,6.0942549496076115,1065699600
2010-01-26,6.197475910186768,6.431303307369188,6.096361512083576,6.197776853070281,1867110000
2010-01-27,6.255858421325684,6.337110599470052,6.004576304881323,6.224861702167099,1722568400
2010-01-28,5.997352600097656,6.184234090635702,5.9795977756648,6.1670811518983895,1173502400
2010-01-29,5.779776573181152,6.084925812978213,5.725307119072653,6.051221015113367,1245952400
2010-02-01,5.86012601852417,5.898344957536001,5.756905029982434,5.789105111892288,749876400
2010-02-02,5.894132614135742,5.907975987482095,5.819500784189587,5.895637730422833,698342400
2010-02-03,5.995547771453857,6.0247388299284275,5.850797456017155,5.873367770925905,615328000
2010-02-04,5.779475688934326,5.969666750026578,5.765030432027498,5.920312925847301,757652000
2010-02-05,5.88209342956543,5.89834434204499,5.743362002184347,5.796929021216515,850306800
2010-02-08,5.841768264770508,5.954920355107196,5.838156950905818,5.88901548424789,478270800
2010-02-09,5.904063701629639,5.943486015810012,5.86072872799017,5.910984986476872,632886800
2010-02-10,5.871861934661865,5.916401071984377,5.845981654707534,5.8950337291294534,370361600
2010-02-11,5.978696346282959,6.011197781839873,5.839964866012881,5.864641785170748,550345600
2010-02-12,6.030154705047607,6.0680726986232685,5.883297816098785,5.961841886968793,655468800
2010-02-16,6.121037483215332,6.129764423699118,6.0644614352143416,6.077100632580754,543737600
2010-02-17,6.095458984375,6.148423323825495,6.044600039695561,6.14481200928308,436396800
2010-02-18,6.106895446777344,6.1357855681199585,6.046407119341141,6.067773265157536,422825200
2010-02-19,6.068976879119873,6.115020342535538,6.0521244773044085,6.074695196422825,415469600
2010-02-22,6.03135871887207,6.093953629779706,5.994343951639114,6.08913894570441,390563600
2010-02-23,5.9302449226379395,6.058744727114363,5.8896188369192135,6.0187201253967535,575094800
2010-02-24,6.038580894470215,6.062053631168325,5.953716223438179,5.965452993580057,460566400
2010-02-25,6.078906536102295,6.104786817558812,5.9251283562312675,5.939874154055496,665126000
2010-02-26,6.157752513885498,6.174303971386686,6.078907484030895,6.090342912295723,507460800
2010-03-01,6.289261341094971,6.304608623247241,6.182729578466092,6.191757462401463,550093600
2010-03-02,6.285048484802246,6.3446335666957125,6.251644227573834,6.317549109822682,566546400
2010-03-03,6.299491882324219,6.3157427958339145,6.257662434350281,6.2877559150418,372052800
2010-03-04,6.34102201461792,6.347341815136955,6.2784271005699805,6.297988789683704,366041200
2010-03-05,6.588993549346924,6.61156386308845,6.458989040418914,6.468318269506473,899620400
2010-03-08,6.5929059982299805,6.623300023987272,6.56792814077251,6.620892882719896,429889600
2010-03-09,6.711475372314453,6.771060462018715,6.5570952738175805,6.569734474392281,920259200
2010-03-10,6.766244411468506,6.785504755189614,6.716891387854703,6.735850386912285,596218000
2010-03-11,6.786105632781982,6.786105632781982,6.720502097923959,6.738257726756623,405700400
2010-03-12,6.819208145141602,6.853213477124388,6.793628408211384,6.842379536018168,416323600
2010-03-15,6.736151218414307,6.7861057251506125,6.6281147386043004,6.7824952143483666,493502800
2010-03-16,6.754508018493652,6.770457588790943,6.696126708957758,6.746382962806636,446908000
2010-03-17,6.744577884674072,6.814695570352755,6.7189985421454095,6.768050626934482,450956800
2010-03-18,6.760528087615967,6.771060688147811,6.699136936587427,6.743975825026897,342109600
2010-03-19,6.688300609588623,6.778280497322078,6.657604845952868,6.764738473190509,559445600
2010-03-22,6.76353645324707,6.8011539109842705,6.625105944519468,6.634736116559172,456419600
2010-03-23,6.872172832489014,6.884812431108806,6.743973600102344,6.790317991455937,602431200
2010-03-24,6.9025702476501465,6.927548109651042,6.846595664902845,6.850508324880401,597780400
2010-03-25,6.820714473724365,6.9507193946741275,6.808676757825542,6.949214278393854,542284400
2010-03-26,6.948613166809082,6.980210965531149,6.8778927915812345,6.889930507429167,640875200
2010-03-29,6.9934492111206055,7.037987940643745,6.970277821570767,7.011807123181158,540744400
2010-03-30,7.097574234008789,7.146627515679935,7.049424182660503,7.120144545466245,527310000
2010-03-31,7.071994304656982,7.120445699343426,7.055744195137805,7.086740905378297,430659600
2010-04-01,7.101186275482178,7.184244097993573,7.004285080759327,7.144521245775737,603145200
2010-04-05,7.177021503448486,7.177623389132307,7.065073177014872,7.071393378487838,684507600
2010-04-06,7.208621978759766,7.2296871795977955,7.132184084164729,7.168296431019854,447017200
2010-04-07,7.240519046783447,7.280242697282439,7.182136940578023,7.208920451008938,628502000
2010-04-08,7.22096061706543,7.268809338541373,7.1634817216312765,7.235706419145968,572989200
2010-04-09,7.276329040527344,7.279339272039838,7.236304854477477,7.265495903575947,334182800
2010-04-12,7.291376113891602,7.314848847922777,7.276930859973614,7.288667226989202,333026400
2010-04-13,7.295590400695801,7.306725688603771,7.255866745708812,7.278437862599847,306210800
2010-04-14,7.3936967849731445,7.397308099689961,7.34494564346777,7.381358528150266,404076400
2010-04-15,7.490899085998535,7.4942090559213455,7.388279571775949,7.396404627830705,376784800
2010-04-16,7.445155620574951,7.557705833778967,7.359388918766693,7.480364728039852,750545600
2010-04-19,7.4352264404296875,7.45990295520319,7.275729914157724,7.434022668802402,566924400
2010-04-20,7.360591888427734,7.500828024494537,7.311539415444119,7.479461486632715,738326400
2010-04-21,7.800861358642578,7.831858067208887,7.695834323768457,7.788221760243712,982391200
2010-04-22,8.019043922424316,8.027470325815749,7.709982314227227,7.771373878207313,793424800
2010-04-23,8.150249481201172,8.190875566097228,8.034991166527515,8.064783307350293,796955600
2010-04-26,8.110227584838867,8.19930429508673,8.070804456727203,8.181850406043225,479068800
2010-04-27,7.885729789733887,8.06027271677483,7.839988059603252,8.043119367079306,709343600
2010-04-28,7.872481822967529,7.9447056674966285,7.716296162047379,7.92213616809807,758402400
2010-04-29,8.08434009552002,8.125266696700303,7.884819499528467,7.915213507705215,558840800
2010-04-30,7.857135772705078,8.142422307895519,7.85442768936374,8.10450431960342,542463600
2010-05-03,8.01543140411377,8.061475271087295,7.911006215287937,7.939896736866913,454342000
2010-05-04,7.784610271453857,7.923342095354616,7.726530317652321,7.9113051864499555,723819600
2010-05-05,7.703660011291504,7.7683615218646045,7.485180312894601,7.614583334040802,883103200
2010-05-06,7.410550117492676,7.7716727755823864,5.996150160458547,7.638659221667405,1285860800
2010-05-07,7.097874641418457,7.420177590085968,6.777378153362654,7.334110349269063,1676018400
2010-05-10,7.643472671508789,7.663334901708025,7.479161875971379,7.530923248056316,984306400
2010-05-11,7.719611644744873,7.821026594213927,7.538448028443348,7.578772771748235,848906800
2010-05-12,7.88723087310791,7.918528126408091,7.78521405792408,7.801463364904924,654379600
2010-05-13,7.7749810218811035,7.97480223070866,7.715997033378029,7.921235212907609,599712400
2010-05-14,7.6383585929870605,7.718407808605986,7.508354456031485,7.678684143739345,759362800
2010-05-17,7.650397300720215,7.709381321560496,7.454487839313212,7.664842563845035,762834800
2010-05-18,7.594423770904541,7.780703063214033,7.531226546175721,7.733456218852976,782678400
2010-05-19,7.473446846008301,7.611275517325102,7.368420557913873,7.50835542831019,1025726800
2010-05-20,7.155055046081543,7.338324846916724,7.108409299785181,7.279039499202624,1282915200
2010-05-21,7.29227876663208,7.357882682477137,6.962151382665658,7.006388763908329,1223891200
2010-05-24,7.4258952140808105,7.550483139996555,7.41084887555626,7.441544241875465,754238800
2010-05-25,7.379550933837891,7.425894520034647,7.136996650790449,7.202901118109458,1048006400
2010-05-26,7.34614896774292,7.587500358174121,7.335315023067022,7.525808267481834,850654000
2010-05-27,7.624213695526123,7.640464612347687,7.496617118529871,7.541456405862435,666282400
2010-05-28,7.730446815490723,7.806282842556962,7.624215947923557,7.805982301357001,815614800
2010-06-01,7.849314212799072,8.003092421570727,7.793039094777078,7.815007525113867,876472800
2010-06-02,7.943206787109375,7.96878572871434,7.834267062420856,7.9609612131663665,688548000
2010-06-03,7.918231964111328,7.991359109271507,7.836677610774373,7.980223815697979,650106800
2010-06-04,7.702755451202393,7.881510641927119,7.662731266635164,7.7704655680862595,758304400
2010-06-07,7.551688194274902,7.798756282805282,7.53995101964211,7.7728759975647135,886942000
2010-06-08,7.503236293792725,7.637754931253794,7.3924917389926526,7.620902132147273,1000770400
2010-06-09,7.318762302398682,7.580577765385952,7.2973965650190955,7.567636820795879,854630000
